Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Joe Smith","6 Tms",9.1,39,6.75,1.92857143,3.5,2.89285714,0.17948718,0.05128205,0.12820513,0.378378378,1.71428571,0.40740741,-0.08474576,6.472974330551248,3.334586049072762,3281
"Total","Nate Adcock","CIN",0.2,2,0,0,0,0,0,0,0,0,0,0,1,3.1335937500000006,3.1335937500000006,3282
"Total","Anibal Sanchez","2 Tms",1.2,5,5.40000002,0,1,5.40000002,0.2,0,0.2,0.25,0.6,0,2.5,9.751550510073672,5.017555166764446,3284
"Total","Hector Noesi","2 Tms",2,5,9,0,2,0,0.4,0,0.4,0.2,0.5,0.33333333,1,1.173801612854004,1.173801612854004,3292
"Total","Chris Hatcher","2 Tms",5.1,19,6.75,3.375,2,0,0.21052632,0.10526316,0.10526316,0.1875,0.9375,0.23076923,0,2.7742073652969013,4.661367320301552,3299
"Total","Darren O'Day","3 Tms",7.1,24,7.36363637,4.90909091,1.5,0,0.25,0.16666667,0.08333333,0.15,0.95454545,0.21428571,0.71428571,3.150670968341808,3.594463742123541,3321
"Total","Matt Garza","MIL",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.1576396942138674,8.494058644491584,3340
"Total","Cesar Ramos","2 Tms",6.2,22,2.7,1.35,2,0,0.09090909,0.04545455,0.04545455,0.25,0.9,0.27777778,0.57142857,3.439428734626441,4.324833158553075,3357
"Total","Ubaldo Jimenez","BAL",0.2,2,0,0,0,0,0,0,0,0,0,0,1,3.152100038528443,8.318710658956375,3374
"Total","Jumbo Diaz","2 Tms",8,25,4.5,3.375,1.33333333,0,0.16,0.12,0.04,0.045454545,0.5,0.05555556,0,3.2670022567059216,4.128104018166226,3397
"Total","Anthony Rizzo","CHC",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8299659375329598,-2.8299659375329598,3473
"Total","Danny Duffy","KCR",1.1,5,6.75000002,0,1,0,0.2,0,0.2,0.2,0.75,0.25,0,1.6602285075348722,2.76698404076343,3542
"Total","Clay Buchholz","BOS",0.2,3,13.49999993,13.49999993,1,0,0.33333333,0.33333333,0,0,1.49999999,0,-1,4.646560375343018,7.144961483156074,3543
"Total","Liam Hendriks","3 Tms",11.1,43,7.14705882,1.58823529,4.5,0,0.20930233,0.04651163,0.1627907,0.325,1.32352941,0.40625,0.33333333,2.103336539582873,3.2550582158265335,3548
"Total","Clayton Richard","2 Tms",1,8,9,9,1,0,0.125,0.125,0,0.428571428,4,0.5,0.5,4.142238171895345,5.617912212510904,3551
"Total","Tony Barnette","2 Tms",9.2,33,6.51724138,0.93103448,7,0.93103448,0.21212121,0.03030303,0.18181818,0.266666666,0.93103448,0.29166667,0.13157895,3.364224361498459,3.5892099696738633,3555
"Total","Brian Schlitter","CHC",0,0,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,3599
"Total","Jim Johnson","3 Tms",4.1,19,8.30769233,0,4,2.07692308,0.21052632,0,0.21052632,0.4375,1.61538462,0.42857143,-0.35714286,4.308222781612646,3.1914325729361193,3656
"Total","Logan Ondrusek","BAL",0.2,2,13.49999993,0,1,0,0.5,0,0.5,0,0,0,1,0.14656039784301766,0.14656039784301766,3677
"Total","Everett Teaford","TBR",0.2,2,0,13.49999993,0,0,0,0.5,-0.5,0,1.49999999,0,1,7.633593727500001,7.633593727500001,3732
"Total","Cesar Jimenez","MIL",0.1,4,0,54.00000054,0,27.00000027,0,0.5,-0.5,0.5,9.00000009,0,-0.625,60.13359432000001,25.5606160961169,3762
"Total","Zach Duke","5 Tms",16.1,66,7.71428571,4.95918367,1.55555556,1.10204082,0.21212121,0.13636364,0.07575758,0.277777777,1.46938775,0.33333333,0.81896552,5.050964379995837,4.288334910412482,3840
"Total","Brett Oberholtzer","2 Tms",2.1,7,3.85714285,0,1,0,0.14285714,0,0.14285714,0,0,0,1,2.2894175281491402,3.717075307101582,3855
"Total","Rubby De La Rosa","ARI",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.842360365786133,-2.842360365786133,3862
"Total","Gavin Floyd","2 Tms",1.2,5,0,0,0,0,0,0,0,0.2,0.6,0.2,0,3.141373729690251,5.9115430210106075,3886
"Total","Enrique Burgos","ARI",5,17,9,0,5,0,0.29411765,0,0.29411765,0.375,1.2,0.5,0.5,1.1396448453180974,2.0630346109383293,3895
"Total","Casey Fien","3 Tms",6,24,4.5,3,1.5,1.5,0.125,0.08333333,0.04166667,0.227272727,1.16666667,0.22222222,0.35714286,5.307359250380401,4.995010834926172,3926
"Total","Matt Magill","3 Tms",3.1,15,13.50000001,2.7,5,0,0.33333333,0.06666667,0.26666667,0.3,1.2,0.375,0.2,1.9911911952862817,4.179879480143561,3950
"Total","David Carpenter","NYY",1,6,9,9,1,0,0.16666667,0.16666667,0,0.5,3,0.5,0.66666667,4.13359375,5.609267790615559,3959
"Total","Edward Mujica","3 Tms",1.1,6,0,0,0,6.75000002,0,0,0,0.2,0.75,0,2.5,12.88960526038338,5.353116302465496,3970
"Total","Allen Webster","CHC",1,3,18,0,2,0,0.66666667,0,0.66666667,0,0,0,1,-0.8038498240910195,-0.8038498240910195,3993
"Total","Enny Romero","3 Tms",7.2,27,8.21739131,3.52173913,2.33333333,0,0.25925926,0.11111111,0.14814815,0.227272727,1.04347826,0.29411765,0.375,2.499721198976383,3.598924283110483,4001
"Total","Yusmeiro Petit","4 Tms",21.1,74,5.484375,2.53125,2.16666667,1.6875,0.17567568,0.08108108,0.09459459,0.206349206,0.890625,0.17647059,0,5.235696729357503,4.595967217284085,4020
"Total","Hector Santiago","2 Tms",2.2,12,3.375,6.74999999,0.5,0,0.08333333,0.16666667,-0.08333333,0.333333333,1.875,0.33333333,0.6,4.676226685615568,8.476920922984489,4026
