Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Brad Boxberger","2 Tms",2,2,13.50000014,0,0,0,1,1,0,0,0,0,1,0,0,0,0,10133
"Total","Jacob Turner","MIA",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10185
"Total","Shelby Miller","CHC",1,2,36,0,0,0,4,4,0,2,0,0,0,0,1,0,0.6917165517807007,10197
"Total","Aroldis Chapman","NYY",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10233
"Total","Rafael Martin","WSN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10258
"Total","Tanner Scheppers","TEX",1,0,18,0,0,0,2,2,0,0,0,0,0,0,0,0,0,10267
"Total","Josh Smoker","NYM",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10285
"Total","Ryan Tepera","2 Tms",4,3,6.75000002,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10291
"Total","Roman Mendez","TEX",1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.8808238506317139,10307
"Total","Erasmo Ramirez","WSN",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10314
"Total","Michael Tonkin","ATL",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10315
"Total","Aaron Loup","2 Tms",3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10343
"Total","Mychal Givens","BAL",2,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10430
"Total","Dean Kiekhefer","STL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10529
"Total","Scott Alexander","KCR",1,0,27,0,0,0,3,3,0,0,0,0,0,0,0,0,0,10591
"Total","Andrew Bellatti","PHI",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10657
"Total","Tyler Thornburg","CIN",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10688
"Total","Chasen Shreve","2 Tms",2,3,0,0,0,0,0,0,0,1,0,0,1,0,0.333333333,0,0.23057218392690024,10855
"Total","Casey Lawrence","STL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11121
"Total","Vince Velasquez","PHI",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11189
"Total","Grant Dayton","LAD",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11203
"Total","Casey Sadler","CHC",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11209
"Total","Tommy Kahnle","NYY",1,1,9,1,0,0,2,1,0,0,0,0,0,1,1,1,0.8795307278633118,11384
"Total","Danny Barnes","TOR",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11388
"Total","Brandon Workman","BOS",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11428
"Total","A.J. Schugel","PIT",1,1,18,1,0,0,2,2,0,0,0,0,0,1,1,1,0.8784541487693787,11432
"Total","Jesse Biddle","ATL",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11437
"Total","Jose Dominguez","SDP",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11571
