Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
"Total","Charlie Culberson","TEX",0.2,2,1,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0,0,1,3298
"Total","Chris Hatcher","2 Tms",23,103,1.32,0.159420289,0.478260869,0.36231884,0.12,0.16,0.09090909,0,0.4057971,0.39130435,0.20289855,0.17391304,0.4057971,0.42028986,3299
"Total","Darren O'Day","3 Tms",33.1,127,1.035714285,0.229729729,0.391891891,0.378378378,0.142857142,0.071428571,0.103448275,0,0.37837838,0.32432432,0.2972973,0.22972973,0.51351351,0.25675676,3321
"Total","Matt Garza","MIL",0.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3340
"Total","Cesar Ramos","2 Tms",7,32,1.8,0.416666666,0.375,0.208333333,0,0.2,0.222222222,0,0.36,0.52,0.12,0.04,0.56,0.4,3357
"Total","Miguel Montero","CHC",0.1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3364
"Total","Ubaldo Jimenez","BAL",1.2,7,2,0.25,0.5,0.25,0,0,0,0,0.25,0.5,0.25,0.25,0.5,0.25,3374
"Total","Jumbo Diaz","2 Tms",19.2,76,1.35,0.145454545,0.49090909,0.363636363,0.15,0.2,0,0,0.49090909,0.30909091,0.2,0.2,0.49090909,0.30909091,3397
"Total","Drew Butera","COL",0.1,2,1,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0,1,3411
"Total","Jeff Mathis","TEX",0.2,4,0.5,0.25,0.25,0.5,0,0.5,0,0,0.75,0.25,0,0,0.5,0.5,3448
"Total","Andre Rienzo","MIA",0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3507
"Total","Danny Duffy","KCR",2,11,3,0.333333333,0.5,0.166666666,1,0,0,0,0.16666667,0.5,0.33333333,0.33333333,0.66666667,0,3542
"Total","Clay Buchholz","BOS",3.1,13,0.6,0.333333333,0.25,0.416666666,0,0.2,0,0,0.33333333,0.58333333,0.08333333,0.08333333,0.75,0.16666667,3543
"Total","Carlos Frias","LAD",0.2,4,1,0,1,0,0,0,0,0,0,1,0,0,1,0,3547
"Total","Liam Hendriks","3 Tms",30,115,1.032258064,0.16,0.426666666,0.413333333,0.064516129,0.064516129,0.125,0,0.28,0.38666667,0.33333333,0.22666667,0.50666667,0.26666667,3548
"Total","Clayton Richard","CHC",1.1,10,4,0.166666666,0.666666666,0.166666666,0,0,0.25,0,0.16666667,0.5,0.33333333,0.16666667,0.5,0.33333333,3551
"Total","Tony Barnette","TEX",12.1,46,1.8,0.263157894,0.47368421,0.263157894,0.3,0.2,0,0,0.42105263,0.36842105,0.21052632,0.18421053,0.44736842,0.36842105,3555
"Total","Brian Schlitter","OAK",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3599
"Total","Kyle Davies","NYY",0.2,4,4,0,1,0,0,0,0,0,0.25,0.75,0,0,0.75,0.25,3642
"Total","Jim Johnson","3 Tms",26.1,110,3.142857142,0.205479452,0.602739726,0.191780821,0,0.285714285,0.045454545,0.5,0.38666667,0.48,0.13333333,0.16,0.58666667,0.25333333,3656
"Total","Logan Ondrusek","BAL",1,3,2,0,0.666666666,0.333333333,0,0,0,0,1,0,0,0,0.33333333,0.66666667,3677
"Total","Everett Teaford","TBR",0.2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3732
"Total","Cesar Jimenez","MIL",0.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3762
