Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
"Total","Jumbo Diaz","2 Tms",6,28,0.9,0.136363636,0.409090909,0.454545454,0.2,0.1,0.111111111,0,0.13636364,0.45454545,0.40909091,0.22727273,0.40909091,0.36363636,3397
"Total","Danny Duffy","KCR",1.2,8,0.333333333,0,0.25,0.75,0,0.333333333,0,0,0.25,0.25,0.5,0,0.75,0.25,3542
"Total","Clay Buchholz","BOS",0.1,3,0,0.333333333,0,0.666666666,0,0,0,0,0.33333333,0,0.66666667,0.33333333,0.33333333,0.33333333,3543
"Total","Carlos Frias","LAD",0.1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3547
"Total","Liam Hendriks","3 Tms",11.2,48,0.461538461,0.136363636,0.272727272,0.59090909,0.153846153,0,0.166666666,0,0.27272727,0.31818182,0.40909091,0.27272727,0.45454545,0.27272727,3548
"Total","Clayton Richard","CHC",0.2,8,6,0,1,0,0,0,0,0,0,0.33333333,0.66666667,0.16666667,0.5,0.33333333,3551
"Total","Tony Barnette","TEX",8,36,0.9,0.321428571,0.321428571,0.357142857,0.1,0.2,0,0,0.57142857,0.14285714,0.28571429,0.10714286,0.67857143,0.21428571,3555
"Total","Brian Schlitter","CHC",0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,3599
"Total","Jim Johnson","3 Tms",6,31,2,0.217391304,0.52173913,0.260869565,0.333333333,0.166666666,0.166666666,0,0.47826087,0.30434783,0.2173913,0.26086957,0.2173913,0.52173913,3656
"Total","Logan Ondrusek","BAL",0.2,3,1,0.5,0.5,0,0,0,0,0,1,0,0,0.5,0.5,0,3677
"Total","Cesar Jimenez","MIL",1.2,8,4,0.285714285,0.571428571,0.142857142,0,0,0.25,0,0.71428571,0.28571429,0,0.42857143,0.57142857,0,3762
"Total","Zach Duke","5 Tms",11.2,53,3.6,0.178571428,0.642857142,0.178571428,0.2,0,0,1,0.51724138,0.20689655,0.27586207,0.20689655,0.5862069,0.20689655,3840
"Total","Brett Oberholtzer","2 Tms",3,16,1,0.09090909,0.454545454,0.454545454,0.2,0.4,0.4,0,0.63636364,0.27272727,0.09090909,0.18181818,0.45454545,0.36363636,3855
"Total","Rubby De La Rosa","ARI",1,5,0.5,0,0.333333333,0.666666666,0,0.5,0,0,0.33333333,0,0.66666667,0.33333333,0,0.66666667,3862
"Total","Gavin Floyd","2 Tms",2.1,14,3,0.6,0.3,0.1,0,0,0,0,0.6,0.1,0.3,0,0.7,0.3,3886
"Total","Enrique Burgos","ARI",3,14,0.333333333,0.333333333,0.166666666,0.5,0.166666666,0.166666666,0,0,0.16666667,0.5,0.33333333,0.16666667,0.5,0.33333333,3895
"Total","Casey Fien","3 Tms",8.2,33,0.7,0.15,0.35,0.5,0.1,0,0,0,0.2,0.5,0.3,0.3,0.35,0.35,3926
"Total","Matt Magill","3 Tms",5.2,23,2,0.25,0.5,0.25,0,0.333333333,0,0,0.46153846,0.38461538,0.15384615,0.07692308,0.76923077,0.15384615,3950
"Total","David Carpenter","2 Tms",1,5,0.5,0,0.333333333,0.666666666,0.5,0,0,0,0.33333333,0.33333333,0.33333333,0.66666667,0.33333333,0,3959
"Total","Edward Mujica","3 Tms",1.2,7,4,0.166666666,0.666666666,0.166666666,1,0,0,0,0.83333333,0,0.16666667,0.33333333,0.5,0.16666667,3970
"Total","Edinson Volquez","TEX",0.1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,3990
"Total","Allen Webster","2 Tms",1.1,6,0,0.2,0,0.8,0,0.25,0,0,0,0.4,0.6,0,0.4,0.6,3993
"Total","Enny Romero","3 Tms",8.2,40,0.777777777,0.238095238,0.333333333,0.428571428,0.111111111,0.222222222,0.142857142,0,0.52380952,0.23809524,0.23809524,0.19047619,0.52380952,0.28571429,4001
"Total","Yusmeiro Petit","4 Tms",25,87,0.580645161,0.196721311,0.295081967,0.508196721,0.032258064,0,0,0,0.36065574,0.37704918,0.26229508,0.19672131,0.52459016,0.27868852,4020
"Total","Hector Santiago","2 Tms",2,8,0.666666666,0,0.4,0.6,0,0,0.5,0,0.2,0,0.8,0.6,0.4,0,4026
"Total","Steve Johnson","2 Tms",0.2,3,0,0,0,1,0,0.5,0,0,1,0,0,0.5,0,0.5,4053
"Total","Brian Duensing","3 Tms",4.2,20,0.428571428,0.166666666,0.25,0.583333333,0.571428571,0,0,0,0.41666667,0.25,0.33333333,0.5,0.41666667,0.08333333,4064
