Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Will Smith","HOU",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.887569058336793,-2.887569058336793,8048
"Total","Dan Jennings","2 Tms",0.1,2,27.00000027,0,1,0,0.5,0,0.5,0.5,3.00000003,1,1,-2.826174009342097,-2.826174009342097,8073
"Total","Bryan Shaw","2 Tms",1,3,0,0,0,0,0,0,0,0,0,0,1,3.139807653427124,4.620177072189139,8110
"Total","David Robertson","NYY",0,1,0,0,0,0,0,0,0,1,1,1,-1,3.1576396942138674,4.9364459931850435,8241
"Total","J.P. Howell","LAD",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8664063100000003,-2.8664063100000003,8245
"Total","Tony Sipp","HOU",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.1576396942138674,8.494058644491584,8280
"Total","Lucas Luetge","NYY",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8299659375329598,-2.8299659375329598,8337
"Total","Deolis Guerra","LAA",0,1,0,0,0,0,0,0,0,1,1,1,1,3.1465603828430178,3.1465603828430178,8410
"Total","Michael Brady","OAK",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.1576396942138674,8.494058644491584,8461
"Total","Justin Miller","COL",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.146560382843018,8.143362673421164,8580
"Total","Adam Warren","NYY",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.1576396942138674,8.494058644491584,9029
"Total","Jeanmar Gomez","2 Tms",0.1,2,27.00000027,0,1,0,0.5,0,0.5,0.5,3.00000003,1,-1,-2.8416623954010483,-2.8416623954010483,9033
"Total","John Axford","2 Tms",0,1,0,0,0,0,0,0,0,0,0,0,1,3.159035634994507,3.159035634994507,9059
"Total","Jeremy Bleich","OAK",0,1,0,0,0,0,0,0,0,1,1,1,1,3.1604315757751467,3.1604315757751467,9069
"Total","Kirby Yates","NYY",0.2,1,0,0,0,0,0,0,0,0,0,0,1,3.1465603828430178,3.1465603828430178,9073
"Total","Koji Uehara","CHC",0.2,1,0,0,0,0,0,0,0,0,0,0,1,3.1576396942138674,3.1576396942138674,9227
"Total","Alex Wilson","DET",0.2,5,13.50000014,0,1,0,0.2,0,0.2,0.75,4.50000005,0.75,0,0.15228974208254176,2.6506908873716144,9239
"Total","Buddy Baumann","SDP",0.2,1,0,0,0,0,0,0,0,0,0,0,1,3.1576396942138674,3.1576396942138674,9309
"Total","Jared Hughes","PIT",0.2,1,0,0,0,0,0,0,0,0,0,0,1,3.1335937500000006,3.1335937500000006,9325
"Total","Zac Rosscup","2 Tms",0.1,2,0,0,0,0,0,0,0,0.5,3.00000003,0.5,1,3.193905544431785,3.193905544431785,9419
"Total","Doug Fister","WSN",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8664063100000003,-2.8664063100000003,9425
"Total","Dallas Keuchel","MIN",0.2,1,0,0,0,0,0,0,0,0,0,0,1,3.25504035949707,3.25504035949707,9434
"Total","Ryan Buchter","OAK",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.1738260506579037,9.1414437561938,9456
"Total","Jeremy Jeffress","MIL",1,2,0,0,0,0,0,0,0,0,0,0,1,3.14253969183559,3.14253969183559,9490
"Total","Michael Blazek","MIL",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.146560382843018,3.146560382843018,9654
"Total","Mike Zagurski","MIL",0,1,0,0,0,0,0,0,0,1,1,1,-3,3.1604315757751467,3.1604315757751467,9683
"Total","Joe Kelly","3 Tms",0.2,2,27.00000027,0,2,0,1,0,1,0,0,0,1,-2.848923218606253,-2.848923218606253,9761
"Total","Rex Brothers","ATL",0.2,1,0,0,0,0,0,0,0,0,0,0,1,3.1576396942138674,3.1576396942138674,9794
"Total","Chris Rusin","COL",0.2,1,0,0,0,0,0,0,0,0,0,0,1,3.1604315757751467,3.1604315757751467,9895
"Total","Chris Volstad","CHW",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.160431575775147,3.160431575775147,9901
"Total","Brandon Kintzler","2 Tms",0,1,0,0,0,9,0,0,0,1,1,0,2.5,16.163836908340453,4.928199034929276,9939
"Total","Mike Dunn","MIA",0.1,2,27.00000027,27.00000027,1,0,0.5,0.5,0,0,3.00000003,0,1,6.13359378,6.13359378,9948
"Total","Tom Wilhelmsen","SEA",0.2,1,0,0,0,0,0,0,0,0,0,0,1,3.1465603828430178,3.1465603828430178,9975
"Total","Mike Minor","KCR",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1576396942138674,3.1576396942138674,10021
"Total","Ian Krol","ATL",0.1,3,0,0,0,0,0,0,0,0.666666666,6.00000006,0.66666667,1,3.146560382843018,3.146560382843018,10066
"Total","Caleb Cotham","CIN",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.146560382843018,8.143362673421164,10075
"Total","Brad Boxberger","2 Tms",0.2,3,13.50000014,13.50000014,1,0,0.33333333,0.33333333,0,0,1.50000002,0,1,4.636431303719177,4.636431303719177,10133
"Total","Ryan Weber","NYY",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.2550403594970705,8.215095670947981,10160
"Total","Aroldis Chapman","NYY",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.887569058336793,-2.887569058336793,10233
"Total","Alexi Ogando","BOS",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,10261
"Total","Ryan Tepera","CHC",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.1700341224670407,3.1700341224670407,10291
