Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Jesse Chavez","4 Tms",1.2,5,10.80000004,0,2,5.40000002,0.4,0,0.4,0.2,0.6,0,1,8.55322434674007,1.641445961467949,5448
"Total","Boone Logan","CLE",0,1,0,0,0,0,0,0,0,1,1,1,1,3.1576396942138674,3.1576396942138674,5525
"Total","Ryan Brasier","2 Tms",1.1,3,0,0,0,0,0,0,0,0,0,0,1,3.212537240982056,4.535808829307314,5615
"Total","Tyler Clippard","HOU",0,1,0,9,0,0,0,1,-1,0,1,0,-2,6.157639694213867,6.157639694213867,5640
"Total","Junior Guerra","2 Tms",0.2,3,13.50000014,13.50000014,1,0,0.33333333,0.33333333,0,0,1.50000002,0,1,4.692021814087524,7.33856503043619,5702
"Total","Eric O'Flaherty","ATL",0,1,0,0,0,0,0,0,0,1,1,1,-1,3.1465603828430178,3.1465603828430178,5746
"Total","Bruce Rondon","CHW",0.1,2,0,0,0,0,0,0,0,0.5,3.00000003,0.5,-2,3.160431575775147,8.115276919679946,5766
"Total","Jhan Marinez","PIT",0,2,0,0,0,0,0,0,0,1,1,1,1,6.157639694213867,6.157639694213867,5830
"Total","Jason Motte","ATL",0,2,0,9,0,0,0,0.5,-0.5,1,2,1,1,6.157639694213867,6.157639694213867,5861
"Total","Randall Delgado","ARI",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.146560382843018,8.143362673421164,5985
"Total","Kelvin Herrera","CHW",0,1,0,0,0,0,0,0,0,0,0,0,0,6.214009475708008,6.214009475708008,6033
"Total","Huascar Brazoban","MIA",1,3,0,0,0,0,0,0,0,0,0,0,1,6.207503907361147,7.860855661311266,6107
"Total","Dellin Betances","NYM",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419315338135,3.191419315338135,6216
"Total","Trevor Cahill","LAA",0,0,0,0,0,0,0,0,0,0,0,0,1,3.214009475708008,3.214009475708008,6249
"Total","David Phelps","SEA",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.1576396942138674,3.1576396942138674,6316
"Total","Trevor May","MIN",0.1,2,27.00000027,0,1,27.00000027,0.5,0,0.5,0.5,3.00000003,0,1,36.168178840607794,-2.831821549392209,6398
"Total","Jose Cisnero","DET",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8299659375329598,-2.8299659375329598,6399
"Total","Vance Worley","MIA",0.1,2,0,27.00000027,0,0,0,0.5,-0.5,0,3.00000003,0,-1,12.157639784213867,12.15763978421387,6435
"Total","Steve Cishek","4 Tms",1.2,4,5.40000002,0,1,0,0.25,0,0.25,0,0,0,1,1.9541140986127814,2.84233574454066,6483
"Total","Blaine Hardy","DET",1,4,9.00000009,9.00000009,1,0,0.25,0.25,0,0,1.00000001,0,1,4.177360258565675,7.607781689959847,6499
"Total","Marc Rzepczynski","4 Tms",1,3,9.00000009,0,1,0,0.33333333,0,0.33333333,0,0,0,1,1.1423889118662207,2.8079896753922693,6612
"Total","Brad Brach","3 Tms",0.2,2,13.50000014,0,1,0,0.5,0,0.5,0,0,0,1,0.18696553093980883,0.18696553093980883,6627
"Total","Alex Colome","2 Tms",0.2,3,13.50000014,0,1,0,0.33333333,0,0.33333333,0,0,0,1,4.651813951233521,7.298357167582186,6661
"Total","Andrew Miller","CLE",0,1,0,0,0,0,0,0,0,1,1,1,0,3.1576396942138674,4.9364459931850435,6785
"Total","Robbie Ross Jr.","BOS",1,2,0,0,0,0,0,0,0,0,0,0,1,3.13359375,4.609267790615559,6819
"Total","Sam Freeman","2 Tms",1,4,9,9,1,0,0.25,0.25,0,0,1,0,0,4.137915960904451,5.613590001520009,6832
"Total","Jeff Manship","CLE",0.2,2,13.49999993,0,1,0,0.5,0,0.5,0,0,0,1,0.14656039784301766,0.14656039784301766,6865
"Total","Martin Perez","TEX",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1604315757751467,3.1604315757751467,6902
"Total","Joakim Soria","OAK",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.1914193153381354,3.1914193153381354,6941
"Total","Yohan Pino","KCR",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,7.560615916116898,6955
"Total","Luis Garcia","2 Tms",0.2,3,13.50000014,0,1,0,0.33333333,0,0.33333333,0.5,1.50000002,0.5,-2,0.1628244099048568,3.1466332626728044,6984
"Total","Ryan Pressly","MIN",1,3,9,0,1,0,0.33333333,0,0.33333333,0,0,0,1,1.1585703213916543,1.1585703213916543,7005
"Total","Alex Torres","NYM",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8664063100000003,-2.8664063100000003,7038
"Total","Fernando Cruz","CIN",1,3,18,0,2,0,0.66666667,0,0.66666667,0,0,0,1,-0.7449596405029295,0.9083921134471895,7048
"Total","Pat Venditte","SFG",0,2,0,0,0,0,0,0,0,1,1,1,-0.5,6.214009475708008,8.203215357661247,7108
"Total","Daniel Hudson","PIT",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.1576396942138674,8.494058644491584,7146
"Total","Ryan Mattheus","CIN",0,0,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,7169
